"Province","Rural.Urban","Education.Level.or.Type","Labour.Group","Gender","Indicators","Description","Value","Age"
"Country-Wide","Urban & Rural","Not Available","Unknown","Male & Female","Household Population","Percentage of Total Household Population",8.43,"25-29 years"
"Country-Wide","Urban & Rural","Not Available","Unknown","Male & Female","Illiterate Population","Illiterate Population by Age Group",3.35,"25-29 years"
"Country-Wide","Urban & Rural","Not Available","Unknown","Male & Female","Literacy Rate","Literacy Rate by Age Group",5.08,"25-29 years"
"Country-Wide","Urban & Rural","Non-formal","Unknown","Male & Female","Education Attainment","Education level by Age Group",0.03,"25-29 years"
"Country-Wide","Urban & Rural","Formal","Unknown","Male & Female","Education Attainment","Education level by Age Group",5.05,"25-29 years"
"Country-Wide","Urban & Rural","Incomplete Pre-Primary","Unknown","Male & Female","Education Attainment","Education level by Age Group",0.01,"25-29 years"
"Country-Wide","Urban & Rural","Incomplete Primary","Unknown","Male & Female","Education Attainment","Education level by Age Group",0.15,"25-29 years"
"Country-Wide","Urban & Rural","Incomplete Middle","Unknown","Male & Female","Education Attainment","Education level by Age Group",1.31,"25-29 years"
"Country-Wide","Urban & Rural","Incomplete Secondary","Unknown","Male & Female","Education Attainment","Education level by Age Group",0.98,"25-29 years"
"Country-Wide","Urban & Rural","Incomplete Higher Secondary","Unknown","Male & Female","Education Attainment","Education level by Age Group",1.1,"25-29 years"
"Country-Wide","Urban & Rural","Incomplete Degree","Unknown","Male & Female","Education Attainment","Education level by Age Group",0.59,"25-29 years"
"Country-Wide","Urban & Rural","Undergraduate; Graduate & Postgraduate","Unknown","Male & Female","Education Attainment","Education level by Age Group",0.9,"25-29 years"
"Country-Wide","Urban & Rural","Not Available","Unknown","Male & Female","Household Population","Percentage of Total Household Population",6.93,"30-34 years"
"Country-Wide","Urban & Rural","Not Available","Unknown","Male & Female","Illiterate Population","Illiterate Population by Age Group",2.93,"30-34 years"
"Country-Wide","Urban & Rural","Not Available","Unknown","Male & Female","Literacy Rate","Literacy Rate by Age Group",4,"30-34 years"
"Country-Wide","Urban & Rural","Non-formal","Unknown","Male & Female","Education Attainment","Education level by Age Group",0.03,"30-34 years"
"Country-Wide","Urban & Rural","Formal","Unknown","Male & Female","Education Attainment","Education level by Age Group",3.97,"30-34 years"
"Country-Wide","Urban & Rural","Incomplete Primary","Unknown","Male & Female","Education Attainment","Education level by Age Group",0.12,"30-34 years"
"Country-Wide","Urban & Rural","Incomplete Middle","Unknown","Male & Female","Education Attainment","Education level by Age Group",1,"30-34 years"
"Country-Wide","Urban & Rural","Incomplete Secondary","Unknown","Male & Female","Education Attainment","Education level by Age Group",0.8,"30-34 years"
"Country-Wide","Urban & Rural","Incomplete Higher Secondary","Unknown","Male & Female","Education Attainment","Education level by Age Group",0.96,"30-34 years"
"Country-Wide","Urban & Rural","Incomplete Degree","Unknown","Male & Female","Education Attainment","Education level by Age Group",0.49,"30-34 years"
"Country-Wide","Urban & Rural","Undergraduate; Graduate & Postgraduate","Unknown","Male & Female","Education Attainment","Education level by Age Group",0.59,"30-34 years"
"Country-Wide","Urban & Rural","Not Available","Unknown","Male & Female","Household Population","Percentage of Total Household Population",6.19,"35-39 years"
"Country-Wide","Urban & Rural","Not Available","Unknown","Male & Female","Illiterate Population","Illiterate Population by Age Group",2.93,"35-39 years"
"Country-Wide","Urban & Rural","Not Available","Unknown","Male & Female","Literacy Rate","Literacy Rate by Age Group",3.26,"35-39 years"
"Country-Wide","Urban & Rural","Non-formal","Unknown","Male & Female","Education Attainment","Education level by Age Group",0.03,"35-39 years"
"Country-Wide","Urban & Rural","Formal","Unknown","Male & Female","Education Attainment","Education level by Age Group",3.23,"35-39 years"
"Country-Wide","Urban & Rural","Incomplete Pre-Primary","Unknown","Male & Female","Education Attainment","Education level by Age Group",0.01,"35-39 years"
"Country-Wide","Urban & Rural","Incomplete Primary","Unknown","Male & Female","Education Attainment","Education level by Age Group",0.11,"35-39 years"
"Country-Wide","Urban & Rural","Incomplete Middle","Unknown","Male & Female","Education Attainment","Education level by Age Group",0.86,"35-39 years"
"Country-Wide","Urban & Rural","Incomplete Secondary","Unknown","Male & Female","Education Attainment","Education level by Age Group",0.65,"35-39 years"
"Country-Wide","Urban & Rural","Incomplete Higher Secondary","Unknown","Male & Female","Education Attainment","Education level by Age Group",0.77,"35-39 years"
"Country-Wide","Urban & Rural","Incomplete Degree","Unknown","Male & Female","Education Attainment","Education level by Age Group",0.38,"35-39 years"
"Country-Wide","Urban & Rural","Undergraduate; Graduate & Postgraduate","Unknown","Male & Female","Education Attainment","Education level by Age Group",0.46,"35-39 years"
"Country-Wide","Urban & Rural","Not Available","Unknown","Male & Female","Household Population","Percentage of Total Household Population",5.38,"40-44 years"
"Country-Wide","Urban & Rural","Not Available","Unknown","Male & Female","Illiterate Population","Illiterate Population by Age Group",2.83,"40-44 years"
"Country-Wide","Urban & Rural","Not Available","Unknown","Male & Female","Literacy Rate","Literacy Rate by Age Group",2.55,"40-44 years"
"Country-Wide","Urban & Rural","Non-formal","Unknown","Male & Female","Education Attainment","Education level by Age Group",0.03,"40-44 years"
"Country-Wide","Urban & Rural","Formal","Unknown","Male & Female","Education Attainment","Education level by Age Group",2.53,"40-44 years"
"Country-Wide","Urban & Rural","Incomplete Primary","Unknown","Male & Female","Education Attainment","Education level by Age Group",0.09,"40-44 years"
"Country-Wide","Urban & Rural","Incomplete Middle","Unknown","Male & Female","Education Attainment","Education level by Age Group",0.71,"40-44 years"
"Country-Wide","Urban & Rural","Incomplete Secondary","Unknown","Male & Female","Education Attainment","Education level by Age Group",0.44,"40-44 years"
"Country-Wide","Urban & Rural","Incomplete Higher Secondary","Unknown","Male & Female","Education Attainment","Education level by Age Group",0.61,"40-44 years"
"Country-Wide","Urban & Rural","Incomplete Degree","Unknown","Male & Female","Education Attainment","Education level by Age Group",0.28,"40-44 years"
"Country-Wide","Urban & Rural","Undergraduate; Graduate & Postgraduate","Unknown","Male & Female","Education Attainment","Education level by Age Group",0.39,"40-44 years"
"Country-Wide","Urban & Rural","Not Available","Unknown","Male & Female","Household Population","Percentage of Total Household Population",5.02,"45-49 years"
"Country-Wide","Urban & Rural","Not Available","Unknown","Male & Female","Illiterate Population","Illiterate Population by Age Group",2.81,"45-49 years"
"Country-Wide","Urban & Rural","Not Available","Unknown","Male & Female","Literacy Rate","Literacy Rate by Age Group",2.2,"45-49 years"
"Country-Wide","Urban & Rural","Non-formal","Unknown","Male & Female","Education Attainment","Education level by Age Group",0.03,"45-49 years"
"Country-Wide","Urban & Rural","Formal","Unknown","Male & Female","Education Attainment","Education level by Age Group",2.17,"45-49 years"
"Country-Wide","Urban & Rural","Incomplete Primary","Unknown","Male & Female","Education Attainment","Education level by Age Group",0.09,"45-49 years"
"Country-Wide","Urban & Rural","Incomplete Middle","Unknown","Male & Female","Education Attainment","Education level by Age Group",0.63,"45-49 years"
"Country-Wide","Urban & Rural","Incomplete Secondary","Unknown","Male & Female","Education Attainment","Education level by Age Group",0.4,"45-49 years"
"Country-Wide","Urban & Rural","Incomplete Higher Secondary","Unknown","Male & Female","Education Attainment","Education level by Age Group",0.52,"45-49 years"
"Country-Wide","Urban & Rural","Incomplete Degree","Unknown","Male & Female","Education Attainment","Education level by Age Group",0.22,"45-49 years"
"Country-Wide","Urban & Rural","Undergraduate; Graduate & Postgraduate","Unknown","Male & Female","Education Attainment","Education level by Age Group",0.31,"45-49 years"
"Country-Wide","Urban & Rural","Not Available","Unknown","Male & Female","Household Population","Percentage of Total Household Population",3.64,"50-54 years"
"Country-Wide","Urban & Rural","Not Available","Unknown","Male & Female","Illiterate Population","Illiterate Population by Age Group",2.14,"50-54 years"
"Country-Wide","Urban & Rural","Not Available","Unknown","Male & Female","Literacy Rate","Literacy Rate by Age Group",1.5,"50-54 years"
"Country-Wide","Urban & Rural","Non-formal","Unknown","Male & Female","Education Attainment","Education level by Age Group",0.02,"50-54 years"
"Country-Wide","Urban & Rural","Formal","Unknown","Male & Female","Education Attainment","Education level by Age Group",1.48,"50-54 years"
"Country-Wide","Urban & Rural","Incomplete Primary","Unknown","Male & Female","Education Attainment","Education level by Age Group",0.06,"50-54 years"
"Country-Wide","Urban & Rural","Incomplete Middle","Unknown","Male & Female","Education Attainment","Education level by Age Group",0.43,"50-54 years"
"Country-Wide","Urban & Rural","Incomplete Secondary","Unknown","Male & Female","Education Attainment","Education level by Age Group",0.29,"50-54 years"
"Country-Wide","Urban & Rural","Incomplete Higher Secondary","Unknown","Male & Female","Education Attainment","Education level by Age Group",0.36,"50-54 years"
"Country-Wide","Urban & Rural","Incomplete Degree","Unknown","Male & Female","Education Attainment","Education level by Age Group",0.12,"50-54 years"
"Country-Wide","Urban & Rural","Undergraduate; Graduate & Postgraduate","Unknown","Male & Female","Education Attainment","Education level by Age Group",0.22,"50-54 years"
"Country-Wide","Urban & Rural","Not Available","Unknown","Male & Female","Household Population","Percentage of Total Household Population",2.85,"55-59 years"
"Country-Wide","Urban & Rural","Not Available","Unknown","Male & Female","Illiterate Population","Illiterate Population by Age Group",1.74,"55-59 years"
"Country-Wide","Urban & Rural","Not Available","Unknown","Male & Female","Literacy Rate","Literacy Rate by Age Group",1.11,"55-59 years"
"Country-Wide","Urban & Rural","Non-formal","Unknown","Male & Female","Education Attainment","Education level by Age Group",0.02,"55-59 years"
"Country-Wide","Urban & Rural","Formal","Unknown","Male & Female","Education Attainment","Education level by Age Group",1.09,"55-59 years"
"Country-Wide","Urban & Rural","Incomplete Primary","Unknown","Male & Female","Education Attainment","Education level by Age Group",0.05,"55-59 years"
"Country-Wide","Urban & Rural","Incomplete Middle","Unknown","Male & Female","Education Attainment","Education level by Age Group",0.36,"55-59 years"
"Country-Wide","Urban & Rural","Incomplete Secondary","Unknown","Male & Female","Education Attainment","Education level by Age Group",0.19,"55-59 years"
"Country-Wide","Urban & Rural","Incomplete Higher Secondary","Unknown","Male & Female","Education Attainment","Education level by Age Group",0.26,"55-59 years"
"Country-Wide","Urban & Rural","Incomplete Degree","Unknown","Male & Female","Education Attainment","Education level by Age Group",0.09,"55-59 years"
"Country-Wide","Urban & Rural","Undergraduate; Graduate & Postgraduate","Unknown","Male & Female","Education Attainment","Education level by Age Group",0.14,"55-59 years"
"Country-Wide","Urban & Rural","Not Available","Unknown","Male & Female","Household Population","Percentage of Total Household Population",2.22,"60-64 years"
"Country-Wide","Urban & Rural","Not Available","Unknown","Male & Female","Illiterate Population","Illiterate Population by Age Group",1.43,"60-64 years"
"Country-Wide","Urban & Rural","Not Available","Unknown","Male & Female","Literacy Rate","Literacy Rate by Age Group",0.79,"60-64 years"
"Country-Wide","Urban & Rural","Non-formal","Unknown","Male & Female","Education Attainment","Education level by Age Group",0.02,"60-64 years"
"Country-Wide","Urban & Rural","Formal","Unknown","Male & Female","Education Attainment","Education level by Age Group",0.77,"60-64 years"
"Country-Wide","Urban & Rural","Incomplete Primary","Unknown","Male & Female","Education Attainment","Education level by Age Group",0.03,"60-64 years"
"Country-Wide","Urban & Rural","Incomplete Middle","Unknown","Male & Female","Education Attainment","Education level by Age Group",0.24,"60-64 years"
"Country-Wide","Urban & Rural","Incomplete Secondary","Unknown","Male & Female","Education Attainment","Education level by Age Group",0.14,"60-64 years"
"Country-Wide","Urban & Rural","Incomplete Higher Secondary","Unknown","Male & Female","Education Attainment","Education level by Age Group",0.18,"60-64 years"
"Country-Wide","Urban & Rural","Incomplete Degree","Unknown","Male & Female","Education Attainment","Education level by Age Group",0.07,"60-64 years"
"Country-Wide","Urban & Rural","Undergraduate; Graduate & Postgraduate","Unknown","Male & Female","Education Attainment","Education level by Age Group",0.1,"60-64 years"
"Country-Wide","Urban & Rural","Not Available","Unknown","Male & Female","Household Population","Percentage of Total Household Population",3.61,"65 years & above"
"Country-Wide","Urban & Rural","Not Available","Unknown","Male & Female","Illiterate Population","Illiterate Population by Age Group",2.62,"65 years & above"
"Country-Wide","Urban & Rural","Not Available","Unknown","Male & Female","Literacy Rate","Literacy Rate by Age Group",0.99,"65 years & above"
"Country-Wide","Urban & Rural","Non-formal","Unknown","Male & Female","Education Attainment","Education level by Age Group",0.03,"65 years & above"
"Country-Wide","Urban & Rural","Formal","Unknown","Male & Female","Education Attainment","Education level by Age Group",0.96,"65 years & above"
"Country-Wide","Urban & Rural","Incomplete Primary","Unknown","Male & Female","Education Attainment","Education level by Age Group",0.05,"65 years & above"
"Country-Wide","Urban & Rural","Incomplete Middle","Unknown","Male & Female","Education Attainment","Education level by Age Group",0.32,"65 years & above"
"Country-Wide","Urban & Rural","Incomplete Secondary","Unknown","Male & Female","Education Attainment","Education level by Age Group",0.18,"65 years & above"
"Country-Wide","Urban & Rural","Incomplete Higher Secondary","Unknown","Male & Female","Education Attainment","Education level by Age Group",0.21,"65 years & above"
"Country-Wide","Urban & Rural","Incomplete Degree","Unknown","Male & Female","Education Attainment","Education level by Age Group",0.07,"65 years & above"
"Country-Wide","Urban & Rural","Undergraduate; Graduate & Postgraduate","Unknown","Male & Female","Education Attainment","Education level by Age Group",0.13,"65 years & above"
"Country-Wide","Urban & Rural","Not Available","Unknown","Male","Household Population","Percentage of Total Household Population",100,"All ages"
"Country-Wide","Urban & Rural","Not Available","Unknown","Male","Illiterate Population","Illiterate Population by Age Group",45.12,"5 years & above"
"Country-Wide","Urban & Rural","Not Available","Unknown","Male","Literacy Rate","Percentage of Literate Population (5 years & above)",54.88,"5 years & above"
"Country-Wide","Urban & Rural","Non-formal","Unknown","Male","Education Attainment","Education level by Age Group",0.3,"All ages"
"Country-Wide","Urban & Rural","Formal","Unknown","Male","Education Attainment","Education level by Age Group",54.58,"5 years & above"
"Country-Wide","Urban & Rural","Incomplete Pre-Primary","Unknown","Male","Education Attainment","Education level by Age Group",1.07,"5 years & above"
"Country-Wide","Urban & Rural","Incomplete Primary","Unknown","Male","Education Attainment","Education level by Age Group",9.06,"5 years & above"
"Country-Wide","Urban & Rural","Incomplete Middle","Unknown","Male","Education Attainment","Education level by Age Group",15.97,"5 years & above"
"Country-Wide","Urban & Rural","Incomplete Secondary","Unknown","Male","Education Attainment","Education level by Age Group",10.39,"5 years & above"
"Country-Wide","Urban & Rural","Incomplete Higher Secondary","Unknown","Male","Education Attainment","Education level by Age Group",9.4,"5 years & above"
"Country-Wide","Urban & Rural","Incomplete Degree","Unknown","Male","Education Attainment","Education level by Age Group",4.47,"5 years & above"
"Country-Wide","Urban & Rural","Undergraduate; Graduate & Postgraduate","Unknown","Male","Education Attainment","Education level by Age Group",4.23,"5 years & above"
"Country-Wide","Urban & Rural","Not Available","Unknown","Male","Household Population","Percentage of Total Household Population",100,"10 years & above"
"Country-Wide","Urban & Rural","Not Available","Unknown","Male","Illiterate Population","Illiterate Population by Age Group",28.71,"10 years & above"
"Country-Wide","Urban & Rural","Not Available","Unknown","Male","Literacy Rate","Percentage of Literate Population (10 years & above)",71.29,"10 years & above"
"Country-Wide","Urban & Rural","Non-formal","Unknown","Male","Education Attainment","Education level by Age Group",0.37,"10 years & above"
"Country-Wide","Urban & Rural","Formal","Unknown","Male","Education Attainment","Education level by Age Group",70.92,"10 years & above"
"Country-Wide","Urban & Rural","Incomplete Pre-Primary","Unknown","Male","Education Attainment","Education level by Age Group",0.08,"10 years & above"
"Country-Wide","Urban & Rural","Incomplete Primary","Unknown","Male","Education Attainment","Education level by Age Group",7.85,"10 years & above"
"Country-Wide","Urban & Rural","Incomplete Middle","Unknown","Male","Education Attainment","Education level by Age Group",22.63,"10 years & above"
"Country-Wide","Urban & Rural","Incomplete Secondary","Unknown","Male","Education Attainment","Education level by Age Group",14.72,"10 years & above"
"Country-Wide","Urban & Rural","Incomplete Higher Secondary","Unknown","Male","Education Attainment","Education level by Age Group",13.32,"10 years & above"
"Country-Wide","Urban & Rural","Incomplete Degree","Unknown","Male","Education Attainment","Education level by Age Group",6.33,"10 years & above"
"Country-Wide","Urban & Rural","Undergraduate; Graduate & Postgraduate","Unknown","Male","Education Attainment","Education level by Age Group",6,"10 years & above"
"Country-Wide","Urban & Rural","Not Available","Unknown","Male","Household Population","Percentage of Total Household Population",100,"5 years & above"
"Country-Wide","Urban & Rural","Not Available","Unknown","Male","Illiterate Population","Illiterate Population by Age Group",36.34,"5 years & above"
"Country-Wide","Urban & Rural","Not Available","Unknown","Male","Literacy Rate","Percentage of Literate Population (5 years & above)",63.66,"5 years & above"
"Country-Wide","Urban & Rural","Non-formal","Unknown","Male","Education Attainment","Education level by Age Group",0.35,"5 years & above"
"Country-Wide","Urban & Rural","Formal","Unknown","Male","Education Attainment","Education level by Age Group",63.31,"5 years & above"
"Country-Wide","Urban & Rural","Incomplete Pre-Primary","Unknown","Male","Education Attainment","Education level by Age Group",1.24,"5 years & above"
"Country-Wide","Urban & Rural","Incomplete Primary","Unknown","Male","Education Attainment","Education level by Age Group",10.5,"5 years & above"
"Country-Wide","Urban & Rural","Incomplete Middle","Unknown","Male","Education Attainment","Education level by Age Group",18.52,"5 years & above"
"Country-Wide","Urban & Rural","Incomplete Secondary","Unknown","Male","Education Attainment","Education level by Age Group",12.05,"5 years & above"
"Country-Wide","Urban & Rural","Incomplete Higher Secondary","Unknown","Male","Education Attainment","Education level by Age Group",10.9,"5 years & above"
"Country-Wide","Urban & Rural","Incomplete Degree","Unknown","Male","Education Attainment","Education level by Age Group",5.18,"5 years & above"
"Country-Wide","Urban & Rural","Undergraduate; Graduate & Postgraduate","Unknown","Male","Education Attainment","Education level by Age Group",4.91,"5 years & above"
"Country-Wide","Urban & Rural","Not Available","Unknown","Male","Household Population","Percentage of Total Household Population",18.14,"5-9 years"
"Country-Wide","Urban & Rural","Not Available","Unknown","Male","Illiterate Population","Illiterate Population by Age Group",12.84,"5-9 years"
"Country-Wide","Urban & Rural","Not Available","Unknown","Male","Literacy Rate","Percentage of Literate Population (5 years & above)",5.3,"5-9 years"
"Country-Wide","Urban & Rural","Non-formal","Unknown","Male","Education Attainment","Education level by Age Group",0.05,"5-9 years"
"Country-Wide","Urban & Rural","Formal","Unknown","Male","Education Attainment","Education level by Age Group",5.26,"5-9 years"
"Country-Wide","Urban & Rural","Incomplete Pre-Primary","Unknown","Male","Education Attainment","Education level by Age Group",1.17,"5-9 years"
