"Seat","City","Province","WinParty","WinVotes","RunParty","RunVotes","Df","Margin","Percent","WinPercent"
97,"Gujranwala","Punjab","PML-N",104674,"PTI",30946,73728,2.38247269437084,238.247269437084,">100%"
98,"Gujranwala","Punjab","PML-N",119224,"PPP-P",36768,82456,2.24260226283725,224.260226283725,">100%"
99,"Gujranwala","Punjab","PML-N",96824,"PPP-P",37077,59747,1.61143026674219,161.143026674219,">100%"
100,"Gujranwala","Punjab","PML-N",89722,"Independent",70159,19563,0.278838067817386,27.8838067817386,"<50%"
101,"Gujranwala","Punjab","PML-N",99191,"PML-J",59878,39313,0.656551655031898,65.6551655031898,"<75%"
102,"Hafizabad","Punjab","PML-N",93013,"Independent",67452,25561,0.378950957718081,37.8950957718081,"<50%"
104,"Gujrat","Punjab","PML-N",84979,"PML-Q",81162,3817,0.0470293979941352,4.70293979941352,"<25%"
106,"Gujrat","Punjab","PML-N",82546,"Independent",55943,26603,0.475537600772215,47.5537600772215,"<50%"
107,"Gujrat IV","Punjab","PML-N",94083,"PTI",60962,33121,0.543305665824612,54.3305665824612,"<75%"
109,"Mandi Bahauddin","Punjab","PML-N",133128,"PPP-P",43574,89554,2.05521641345757,205.521641345757,">100%"
110,"Sialkot","Punjab","PML-N",92803,"PTI",71525,21278,0.297490387976232,29.7490387976232,"<50%"
111,"Sialkot","Punjab","PML-N",136991,"PPP-P",51230,85761,1.67403864922897,167.403864922897,">100%"
112,"Sialkot","Punjab","PML-N",127437,"PTI",36632,90805,2.47884363398122,247.884363398122,">100%"
113,"Sialkot","Punjab","PML-N",117716,"PTI",52341,65375,1.24902084408017,124.902084408017,">100%"
114,"Sialkot","Punjab","PML-N",131468,"Independent",38232,93236,2.43869010253191,243.869010253191,">100%"
115,"Narowal","Punjab","PML-N",71493,"Independent",49134,22359,0.455061668091342,45.5061668091342,"<50%"
116,"Narowal","Punjab","PML-N",91409,"PPP-P",40291,51118,1.26872006155221,126.872006155221,">100%"
117,"Narowal","Punjab","PML-N",94744,"PTI",51838,42906,0.827693969674756,82.7693969674756,"<100%"
118,"Lahore","Punjab","PML-N",103310,"PTI",43570,59740,1.37112692219417,137.112692219417,">100%"
119,"Lahore","Punjab","PML-N",107707,"PTI",40797,66910,1.64007157389024,164.007157389024,">100%"
120,"Lahore","Punjab","PML-N",91666,"PTI",52321,39345,0.75199250778846,75.199250778846,"<100%"
121,"Lahore","Punjab","PML-N",114421,"PTI",68227,46194,0.677063332698199,67.7063332698199,"<75%"
122,"Lahore","Punjab","PML-N",93362,"PTI",84417,8945,0.105962069251454,10.5962069251454,"<25%"
123,"Lahore","Punjab","PML-N",126877,"PTI",40617,86260,2.12374129059261,212.374129059261,">100%"
124,"Lahore","Punjab","PML-N",119289,"PTI",42119,77170,1.83218974809468,183.218974809468,">100%"
125,"Lahore","Punjab","PML-N",123094,"PTI",83190,39904,0.479673037624715,47.9673037624715,"<50%"
127,"Lahore","Punjab","PML-N",102136,"PTI",45927,56209,1.22387702223093,122.387702223093,">100%"
128,"Lahore","Punjab","PML-N",122464,"PTI",78295,44169,0.56413564084552,56.413564084552,"<75%"
129,"Lahore","Punjab","PML-N",93436,"Independent",36044,57392,1.59227610698036,159.227610698036,">100%"
130,"Lahore","Punjab","PML-N",87548,"PPP-P",32655,54893,1.680998315725,168.0998315725,">100%"
131,"Sheikhupura","Punjab","PML-N",72910,"Independent",41502,31408,0.756782805647921,75.6782805647921,"<100%"
132,"Old Sheikhupura","Punjab","PML-N",93119,"PPP-P",33439,59680,1.78474236669757,178.474236669757,">100%"
133,"Old Sheikhupura","Punjab","PML-N",68894,"Indpenendet",31512,37382,1.18627824320894,118.627824320894,">100%"
134,"Sheikhupura Cum Nankana Sahib","Punjab","PML-N",44384,"Independent",41093,3291,0.0800866327598374,8.00866327598374,"<25%"
135,"Nankana Sahib","Punjab","PML-N",82038,"PTI",40537,41501,1.02378074351827,102.378074351827,">100%"
136,"Nankana Cum  Sheikhupura","Punjab","PML-N",73761,"PML-Q",36158,37603,1.03996349355606,103.996349355606,">100%"
137,"Nankhana","Punjab","PML-N",61291,"Independent",55987,5304,0.0947362780645507,9.47362780645507,"<25%"
138,"Kasur","Punjab","PML-N",75409,"Independent",28057,47352,1.68770716755177,168.770716755177,">100%"
139,"Kasur","Punjab","PML-N",102703,"PPP-P",28763,73940,2.57066369989222,257.066369989222,">100%"
140,"Kasur","Punjab","PML-N",68460,"PML-Q",49435,19025,0.384848791342166,38.4848791342166,"<50%"
141,"Kasur","Punjab","PML-N",96368,"Independent",33712,62656,1.85856668248695,185.856668248695,">100%"
142,"Kasur","Punjab","PML-N",84787,"PML-Q",65836,18951,0.287851631326326,28.7851631326326,"<50%"
143,"Okara","Punjab","PML-N",90471,"PML-Q",39269,51202,1.303878377346,130.3878377346,">100%"
144,"Okara","Punjab","PML-N",103382,"PPP-P",35970,67412,1.87411731998888,187.411731998888,">100%"
145,"Okara","Punjab","PML-N",88856,"Independent",31638,57218,1.80852139831848,180.852139831848,">100%"
146,"Okara","Punjab","PML-N",108337,"PPP-P",37298,71039,1.90463295619068,190.463295619068,">100%"
147,"Okara","Punjab","PML-N",87236,"PPP-P",58220,29016,0.498385434558571,49.8385434558571,"<50%"
148,"Multan","Punjab","PML-N",81748,"PTI",64719,17029,0.26312211251719,26.312211251719,"<50%"
151,"Multan","Punjab","PML-N",96159,"PPP-P",57168,38991,0.682042401343409,68.2042401343409,"<75%"
152,"Multan","Punjab","PML-N",80650,"PTI",64395,16255,0.252426430623496,25.2426430623496,"<50%"
153,"Multan","Punjab","PML-N",94298,"PPP-P",88553,5745,0.064876401702935,6.4876401702935,"<25%"
157,"Khanewal","Punjab","PML-N",96143,"PML-Q",65406,30737,0.469941595572272,46.9941595572272,"<50%"
158,"Khanewal","Punjab","PML-N",93564,"PTI",71807,21757,0.302992744439957,30.2992744439957,"<50%"
159,"Khanewal","Punjab","PML-N",117074,"PTI",68078,48996,0.719703869091336,71.9703869091336,"<75%"
160,"Sahiwal","Punjab","PML-N",99153,"PTI",37846,61307,1.61990699149184,161.990699149184,">100%"
161,"Sahiwal","Punjab","PML-N",93800,"PTI",43540,50260,1.15434083601286,115.434083601286,">100%"
163,"Sahiwal","Punjab","PML-N",88853,"PML-Q",66883,21970,0.328484069195461,32.8484069195461,"<50%"
164,"Pakpattan","Punjab","PML-N",67866,"PML-Q",65568,2298,0.0350475841874085,3.50475841874085,"<25%"
165,"Pakpattan","Punjab","PML-N",72079,"PTI",55043,17036,0.30950347909816,30.950347909816,"<50%"
166,"Pakpattan","Punjab","PML-N",87036,"PTI",48928,38108,0.778858731196861,77.8858731196861,"<100%"
167,"Vehari","Punjab","PML-N",99693,"Independent",43619,56074,1.28554070473876,128.554070473876,">100%"
168,"Vehari","Punjab","PML-N",69012,"PTI",54263,14749,0.27180583454656,27.180583454656,"<50%"
170,"Vehari","Punjab","PML-N",83537,"PTI",80971,2566,0.03169035827642,3.16903582764199,"<25%"
171,"D.G Khan","Punjab","PML-N",62849,"PPP-P",57276,5573,0.0973007891612543,9.73007891612543,"<25%"
172,"DG Khan","Punjab","PML-N",49142,"Independent",39361,9781,0.248494702878484,24.8494702878484,"<25%"
174,"Rajanpur","Punjab","PML-N",100794,"Independent",61204,39590,0.646853146853147,64.6853146853147,"<75%"
175,"Rajanpur","Punjab","PML-N",109662,"Independent",73425,36237,0.493524004085802,49.3524004085802,"<50%"
176,"Muzaffargarh","Punjab","PML-N",87335,"PML-F",74845,12490,0.16687821497762,16.687821497762,"<25%"
179,"Muzaffargarh","Punjab","PML-N",109589,"PPP-P",72888,36701,0.50352595763363,50.352595763363,"<75%"
181,"Layyah","Punjab","PML-N",118319,"PPP-P",80892,37427,0.462678633239381,46.2678633239381,"<50%"
182,"Layyah","Punjab","PML-N",84838,"Independent",74719,10119,0.135427401330318,13.5427401330318,"<25%"
183,"Bahawalpur","Punjab","PML-N",62839,"BNAP",47362,15477,0.326780963641738,32.6780963641738,"<50%"
184,"Bahawalpur","Punjab","PML-N",94404,"PPP-P",64173,30231,0.471085970735356,47.1085970735356,"<50%"
185,"Bahawalpur","Punjab","PML-N",88219,"BNAP",65794,22425,0.340836550445329,34.0836550445329,"<50%"
186,"Bahawalpur","Punjab","PML-N",74275,"PML-Q",61288,12987,0.211901187834486,21.1901187834486,"<25%"
189,"Bahawalnagar","Punjab","PML-N",94464,"PTI",46795,47669,1.01867720910354,101.867720910354,">100%"
190,"Bahawalnagar","Punjab","PML-N",82618,"PML-Z",48250,34368,0.712290155440415,71.2290155440414,"<75%"
193,"Rahimyar Khan","Punjab","PML-N",86015,"PPP-P",46134,39881,0.86446005115533,86.446005115533,"<100%"
196,"Rahimyar Khan","Punjab","PML-N",105953,"PPP-P",56187,49766,0.885720896292737,88.5720896292737,"<100%"
197,"Rahim Yar Khan","Punjab","PML-N",80414,"PPP-P",67022,13392,0.199814986123959,19.9814986123959,"<25%"
258,"Karachi","Sindh","PML-N",52751,"PPP-P",36329,16422,0.452035563874591,45.2035563874591,"<50%"
271,"Kharan Washuk Panjgur","Balochistan","PML-N",7388,"PPP-P",6170,1218,0.19740680713128,19.740680713128,"<25%"
